Real Impedance (Ω),-Imaginary Impedance (Ω)
-21.595875970645,83.6539766125319
-8.21798973503289,66.6976876528309
-0.640192544474325,53.1680466812682
3.79864693776671,42.2699516685702
6.54093718383785,33.6086980704539
8.23772169473943,26.846799991979
9.41748564331545,21.4413967247465
10.1447464436085,17.1198356146096
10.5845050304549,13.7215682486651
10.9239659621489,11.0053458560663
11.1085365153183,8.87601640501567
11.5490667518692,7.19358714407432
11.3725149569253,5.85377411828482
11.6248351521591,4.8013548176899
11.5098210606595,4.05687293975799
11.669988408932,3.45847890791798
11.6590098054184,3.05696742002835
11.6788476423721,2.76829938727616
11.695422520608,2.6531961817934
11.8374594484755,2.67068723937606
11.9916914676322,2.79470325624539
11.7939129045321,3.04210201727695
12.0415665826148,3.43777900154611
11.8770199942563,4.01071407513659
12.0724248773939,4.74860129707763
12.0559375399266,5.73089625301147
12.1423972826399,7.03354985062779
12.3668795074422,8.64895249550071
12.3819287908014,10.6989770405442
12.7208731956311,13.2672301448493
12.7657133385451,16.5319121354117
13.0776662316363,20.5204917804761
13.5920812830179,25.5037739274649
14.151820504057,31.5770641369365
15.0413122919078,39.2399717176866
16.1407952706581,48.829420880243
17.8134991543498,60.6615194190933
20.060904869613,75.2646323820144
23.3042668988667,93.4952400511707
27.8878192952391,116.046017772136
33.6220226809766,143.587056435784
42.5765788537834,177.071003673652
55.0706761854396,217.803881452368
73.5079323506847,266.304643881393
99.6994256797155,323.766064860187
135.115403907668,391.593310790424
187.761447338129,470.047850598037
252.867820034923,551.690417296852
345.464240467596,637.36104529652
460.372550007256,719.5615861591
619.293856983203,790.070075056597
759.338541528033,844.180451893842
935.335441510834,846.954531662981
1113.46978370326,794.33068587917
1277.91362378465,784.339601126311
1374.7166634515,760.782047451921
1506.37231026239,693.058395721124
1625.17563818775,609.682750042742
1638.9061287324,508.142741899727
1687.44495555252,497.004429406742
1692.49490331675,399.890743004633
